ip,port,,,
45.70.236.195,999,,,
36.136.27.2,4999,,,
43.130.59.122,13001,,,
43.159.152.237,13001,,,
170.106.84.182,13001,,,
172.188.122.92,80,,,
194.4.57.200,3128,,,
46.161.194.83,8085,,,
43.153.69.199,13001,,,
110.43.221.121,7088,,,
36.93.120.95,8080,,,
83.217.23.34,8090,,,
195.66.210.177,8080,,,
111.132.16.12,3389,,,
157.15.144.254,8080,,,
103.166.158.33,8080,,,
43.153.101.244,13001,,,
34.143.143.61,7777,,,
43.153.34.75,13001,,,
43.153.8.65,13001,,,
43.135.166.82,13001,,,
95.47.239.221,3128,,,
45.5.116.177,999,,,
103.171.255.60,8080,,,
111.1.61.53,3128,,,
103.165.156.11,8090,,,
190.94.213.246,999,,,
185.200.36.105,8080,,,
103.154.77.48,89,,,
38.65.172.81,999,,,
45.129.141.143,3128,,,
47.90.205.231,33333,,,
103.213.218.23,22466,,,
208.87.243.199,7878,,,
43.153.11.118,13001,,,
190.83.15.4,999,,,
43.153.21.13,13001,,,
43.153.103.91,13001,,,
43.153.62.242,13001,,,
45.231.170.137,999,,,
161.97.136.251,3128,,,
43.153.109.164,13001,,,
186.96.68.60,999,,,
38.156.74.195,8080,,,
38.183.146.143,8090,,,
103.169.254.11,6080,,,
